idInteracao;idCliente;tipoInteracao;idAnimal;nomeEvento;valorPago;data
I141;45;VISITA;A29;Visita ao Pinguim KernelKid;16.00;2025-06-20
I142;46;VISITA;A24;Lago de Dados dos Flamingos;14.50;2025-06-20
I143;47;ESPETACULO;A07;Marcha dos Pinguins Bit;15.00;2025-06-21
I144;48;ESPETACULO;A29;Marcha dos Pinguins KernelKid;15.00;2025-06-21
I145;49;ESPETACULO;A19;Show dos Golfinhos Cloud;24.50;2025-06-22
I146;50;ESPETACULO;A24;Parada dos Flamingos PixelArt;18.00;2025-06-22
I147;1;ESPETACULO;A12;Corrida da Chita Thread;24.00;2025-06-23
I148;2;ESPETACULO;A04;Show da Píton Python;19.50;2025-06-23
I149;3;ALIMENTACAO;A25;Alimentar Elefante Array;22.00;2025-06-24
I150;4;ALIMENTACAO;A22;Alimentar Girafa API;19.00;2025-06-24
I151;5;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-06-25
I152;6;ALIMENTACAO;A07;Alimentar Pinguim Bit;20.00;2025-06-25
I153;7;ALIMENTACAO;A19;Alimentar Golfinho Cloud;23.00;2025-06-26
I154;8;ALIMENTACAO;A20;Alimentar Tartaruga Kernelita;21.00;2025-06-26
I155;9;ALIMENTACAO;A26;Alimentar Urso-polar Boolean;24.00;2025-06-27
I156;10;ALIMENTACAO;A27;Alimentar Coala Snippet;18.50;2025-06-27
I157;11;APADRINHAMENTO;A01;Apadrinhamento Lontra Byte;20.00;2025-06-28
I158;12;APADRINHAMENTO;A01;Apadrinhamento Lontra Byte;32.00;2025-06-28
I159;13;APADRINHAMENTO;A02;Apadrinhamento Leão Kernel;25.00;2025-06-29
I160;14;APADRINHAMENTO;A02;Apadrinhamento Leão Kernel;47.00;2025-06-29
I161;15;APADRINHAMENTO;A05;Apadrinhamento Arara Ruby;22.00;2025-06-29
I162;16;APADRINHAMENTO;A05;Apadrinhamento Arara Ruby;38.00;2025-06-30
I163;17;APADRINHAMENTO;A16;Apadrinhamento Panda Git;24.50;2025-06-30
I164;18;APADRINHAMENTO;A16;Apadrinhamento Panda Git;50.00;2025-06-30
I165;19;APADRINHAMENTO;A18;Apadrinhamento Foca Docker;21.00;2025-07-01
I166;20;APADRINHAMENTO;A18;Apadrinhamento Foca Docker;35.00;2025-07-01
I167;21;APADRINHAMENTO;A21;Apadrinhamento Lémure Script;19.50;2025-07-02
I168;22;APADRINHAMENTO;A21;Apadrinhamento Lémure Script;42.00;2025-07-02
I169;23;APADRINHAMENTO;A30;Apadrinhamento Hipopótamo Overflow;27.00;2025-07-03
I170;24;APADRINHAMENTO;A30;Apadrinhamento Hipopótamo Overflow;56.00;2025-07-03
I171;25;APADRINHAMENTO;A31;Apadrinhamento Guaxinim Refactor;23.00;2025-07-03
I172;26;APADRINHAMENTO;A31;Apadrinhamento Guaxinim Refactor;49.50;2025-07-04
I173;27;APADRINHAMENTO;A09;Apadrinhamento Urso-pardo Cookie;25.00;2025-07-04
I174;28;APADRINHAMENTO;A09;Apadrinhamento Urso-pardo Cookie;53.00;2025-07-04
I175;29;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-05
I176;30;VISITA;A19;Passeio no Oceano Cloud;18.00;2025-07-05
I177;31;VISITA;A20;Tartarugas Kernelita Tour;18.00;2025-07-06
I178;32;VISITA;A07;Visita ao Pinguinario Linux;16.00;2025-07-06
I179;33;ESPETACULO;A07;Marcha dos Pinguins Bit;15.00;2025-07-07
I180;34;ESPETACULO;A19;Show dos Golfinhos Cloud;24.50;2025-07-07
I181;35;ALIMENTACAO;A25;Alimentar Elefante Array;22.00;2025-07-08
I182;36;ALIMENTACAO;A22;Alimentar Girafa API;19.00;2025-07-08
I183;37;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-07-09
I184;38;ALIMENTACAO;A07;Alimentar Pinguim Bit;20.00;2025-07-09
I185;39;APADRINHAMENTO;A06;Apadrinhamento Lobo CSharp;24.00;2025-07-10
I186;40;APADRINHAMENTO;A06;Apadrinhamento Lobo CSharp;39.00;2025-07-10
I187;41;APADRINHAMENTO;A08;Apadrinhamento Suricata Pixel;26.00;2025-07-11
I188;42;APADRINHAMENTO;A10;Apadrinhamento Camelo Cache;44.00;2025-07-11
I189;43;APADRINHAMENTO;A11;Apadrinhamento Morcego Bug;18.50;2025-07-12
I190;44;APADRINHAMENTO;A14;Apadrinhamento Canguru Lambda;51.00;2025-07-12
I191;45;APADRINHAMENTO;A15;Apadrinhamento Raposa Java;24.50;2025-07-13
I192;46;APADRINHAMENTO;A17;Apadrinhamento Macaco Branch;33.00;2025-07-13
I193;47;APADRINHAMENTO;A23;Apadrinhamento Raposa Proxy;27.00;2025-07-14
I194;48;APADRINHAMENTO;A24;Apadrinhamento Flamingo PixelArt;19.50;2025-07-14
I195;49;APADRINHAMENTO;A28;Apadrinhamento Lince Compile;60.00;2025-07-15
I196;50;APADRINHAMENTO;A32;Apadrinhamento Chacal Bitwise;29.00;2025-07-15
I197;1;APADRINHAMENTO;A18;Apadrinhamento Foca Docker;23.50;2025-07-16
I198;2;APADRINHAMENTO;A21;Apadrinhamento Lémure Script;47.00;2025-07-16
I199;3;APADRINHAMENTO;A30;Apadrinhamento Hipopótamo Overflow;54.00;2025-07-17
I200;4;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-18
I201;5;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-18
I202;6;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-19
I203;7;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-19
I204;8;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-20
I205;9;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-20
I206;10;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-07-21
I207;11;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-07-21
I208;12;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-07-22
I209;13;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-07-22
I210;14;ESPETACULO;A03;Espetaculo dos Gorilas Zé;22.00;2025-07-23
I211;15;ESPETACULO;A03;Espetaculo dos Gorilas Zé;22.00;2025-07-23
I212;16;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;20.00;2025-07-24
I213;17;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;27.00;2025-07-24
I214;18;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;45.00;2025-07-25
I215;19;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;55.00;2025-07-25
I216;20;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;60.00;2025-07-26
I217;21;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;35.00;2025-07-26
I218;22;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;25.00;2025-07-27
I219;23;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;52.00;2025-07-27
I220;24;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-28
I221;25;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-28
I222;26;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-29
I223;27;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-29
I224;28;VISITA;A19;Passeio no Oceano Cloud;18.00;2025-07-30
I225;29;VISITA;A20;Tartarugas Kernelita Tour;18.00;2025-07-30
I226;30;ESPETACULO;A19;Show dos Golfinhos Cloud;24.50;2025-07-31
I227;31;ESPETACULO;A24;Parada dos Flamingos PixelArt;18.00;2025-07-31
I228;32;ALIMENTACAO;A07;Alimentar Pinguim Bit;20.00;2025-08-01
I229;33;ALIMENTACAO;A25;Alimentar Elefante Array;22.00;2025-08-01
I230;34;APADRINHAMENTO;A19;Apadrinhamento Golfinho Cloud;26.00;2025-08-02
I231;35;APADRINHAMENTO;A19;Apadrinhamento Golfinho Cloud;48.00;2025-08-02
I232;36;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;30.00;2025-08-03
I233;37;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;54.00;2025-08-03
I234;38;APADRINHAMENTO;A07;Apadrinhamento Pinguim Bit;23.00;2025-08-04
I235;39;APADRINHAMENTO;A22;Apadrinhamento Girafa API;40.00;2025-08-04
